"id","category","tipo"
"__export__.category_tourism_category_tourism_1","H1","Hoteles"
"__export__.category_tourism_category_tourism_2","H2","Hoteles"
"__export__.category_tourism_category_tourism_3","H3","Hoteles"
"__export__.category_tourism_category_tourism_4","H4","Hoteles"
"__export__.category_tourism_category_tourism_5","H5","Hoteles"
"__export__.category_tourism_category_tourism_6","AP","Hoteles-apartamentos"
"__export__.category_tourism_category_tourism_7","HA","Hoteles-apartamentos"
"__export__.category_tourism_category_tourism_8","HA1","Hoteles-apartamentos"
"__export__.category_tourism_category_tourism_9","HA2","Hoteles-apartamentos"
"__export__.category_tourism_category_tourism_10","HA3","Hoteles-apartamentos"
"__export__.category_tourism_category_tourism_11","HA4","Hoteles-apartamentos"
"__export__.category_tourism_category_tourism_12","HA5","Hoteles-apartamentos"
"__export__.category_tourism_category_tourism_13","HR","Hoteles-residencias"
"__export__.category_tourism_category_tourism_14","HR1","Hoteles-residencias"
"__export__.category_tourism_category_tourism_15","HR2","Hoteles-residencias"
"__export__.category_tourism_category_tourism_16","HR3","Hoteles-residencias"
"__export__.category_tourism_category_tourism_17","HR4","Hoteles-residencias"
"__export__.category_tourism_category_tourism_18","HR5","Hoteles-residencias"
"__export__.category_tourism_category_tourism_19","M1","Moteles"
"__export__.category_tourism_category_tourism_20","M2","Moteles"
"__export__.category_tourism_category_tourism_21","M3","Moteles"
"__export__.category_tourism_category_tourism_22","PN3","Paradores Nacionales"
"__export__.category_tourism_category_tourism_23","PN4","Paradores Nacionales"
"__export__.category_tourism_category_tourism_24","PN5","Paradores Nacionales"
"__export__.category_tourism_category_tourism_25","CV1","Ciudades de vacaciones"
"__export__.category_tourism_category_tourism_26","CV2","Ciudades de vacaciones"
"__export__.category_tourism_category_tourism_27","CV3","Ciudades de vacaciones"
"__export__.category_tourism_category_tourism_28","RA1","Residencias-apartamentos"
"__export__.category_tourism_category_tourism_29","RA2","Residencias-apartamentos"
"__export__.category_tourism_category_tourism_30","RA3","Residencias-apartamentos"
"__export__.category_tourism_category_tourism_31","RA4","Residencias-apartamentos"
"__export__.category_tourism_category_tourism_32","HS","Hostales"
"__export__.category_tourism_category_tourism_33","HS1","Hostales"
"__export__.category_tourism_category_tourism_34","HS2","Hostales"
"__export__.category_tourism_category_tourism_35","HS3","Hostales"
"__export__.category_tourism_category_tourism_36","HSR","Hostales"
"__export__.category_tourism_category_tourism_37","HSR1","Hostales"
"__export__.category_tourism_category_tourism_38","HSR2","Hostales"
"__export__.category_tourism_category_tourism_39","HSR3","Hostales"
"__export__.category_tourism_category_tourism_40","HSE","Hostales generales"
"__export__.category_tourism_category_tourism_41","HSG","Hostales especiales"
"__export__.category_tourism_category_tourism_42","CH","Casas de Huéspedes"
"__export__.category_tourism_category_tourism_43","CH1","Casas de Huéspedes"
"__export__.category_tourism_category_tourism_44","F1","Fondas"
"__export__.category_tourism_category_tourism_45","F2","Fondas"
"__export__.category_tourism_category_tourism_46","F3","Fondas"
"__export__.category_tourism_category_tourism_47","P","Pensiones"
"__export__.category_tourism_category_tourism_48","P1","Pensiones"
"__export__.category_tourism_category_tourism_49","P2","Pensiones"
"__export__.category_tourism_category_tourism_50","P3","Pensiones"
"__export__.category_tourism_category_tourism_51","PA","Pensiones"
"__export__.category_tourism_category_tourism_52","PT","Pensiones"
"__export__.category_tourism_category_tourism_53","Otras","Otros"