"id","code","place"
"__export__.codeine_task_1","AFG","Afganistán"
"__export__.codeine_task_2","ALB","Albania"
"__export__.codeine_task_3","DEU","Alemania"
"__export__.codeine_task_4","AND","Andorra"
"__export__.codeine_task_5","AGO","Angola"
"__export__.codeine_task_6","AIA","Anguila"
"__export__.codeine_task_7","ATG","Antigua y Barbuda"
"__export__.codeine_task_8","ANT","Antillas Neerlandesas"
"__export__.codeine_task_9","ATA","Antártida"
"__export__.codeine_task_10","SAU","Arabia Saudita"
"__export__.codeine_task_11","DZA","Argelia"
"__export__.codeine_task_12","ARG","Argentina"
"__export__.codeine_task_13","ARM","Armenia"
"__export__.codeine_task_14","ABW","Aruba"
"__export__.codeine_task_15","AUS","Australia"
"__export__.codeine_task_16","AUT","Austria"
"__export__.codeine_task_17","AZE","Azerbaiyán"
"__export__.codeine_task_18","BHS","Bahamas"
"__export__.codeine_task_19","BHR","Bahrein"
"__export__.codeine_task_20","BGD","Bangladesh"
"__export__.codeine_task_21","BRB","Barbados"
"__export__.codeine_task_22","BLZ","Belice"
"__export__.codeine_task_23","BEN","Benin"
"__export__.codeine_task_24","BMU","Bermudas"
"__export__.codeine_task_25","BTN","Bhután"
"__export__.codeine_task_26","BLR","Bielorrusia"
"__export__.codeine_task_27","BOL","Bolivia"
"__export__.codeine_task_28","BIH","Bosnia-Herzegovina"
"__export__.codeine_task_29","BWA","Botswana"
"__export__.codeine_task_30","BRA","Brasil"
"__export__.codeine_task_31","BRN","Brunéi"
"__export__.codeine_task_32","BGR","Bulgaria"
"__export__.codeine_task_33","BFA","Burkina Fasso"
"__export__.codeine_task_34","BDI","Burundi"
"__export__.codeine_task_35","BEL","Bélgica"
"__export__.codeine_task_36","CPV","Cabo Verde"
"__export__.codeine_task_37","KHM","Camboya"
"__export__.codeine_task_38","CMR","Camerún"
"__export__.codeine_task_39","CAN","Canadá"
"__export__.codeine_task_40","TCD","Chad"
"__export__.codeine_task_41","CHL","Chile"
"__export__.codeine_task_42","CHN","China"
"__export__.codeine_task_43","CYP","Chipre"
"__export__.codeine_task_44","COL","Colombia"
"__export__.codeine_task_45","COM","Comoras"
"__export__.codeine_task_46","COG","Congo, República del"
"__export__.codeine_task_47","COD","Congo, República Democrática del"
"__export__.codeine_task_48","PRK","Corea, Rep. Popular Democrática"
"__export__.codeine_task_49","KOR","Corea, República de"
"__export__.codeine_task_50","CIV","Costa de Marfil"
"__export__.codeine_task_51","CRI","Costa Rica"
"__export__.codeine_task_52","HRV","Croacia"
"__export__.codeine_task_53","CUB","Cuba"
"__export__.codeine_task_54","DNK","Dinamarca"
"__export__.codeine_task_55","DMA","Dominica"
"__export__.codeine_task_56","ECU","Ecuador"
"__export__.codeine_task_57","EGY","Egipto"
"__export__.codeine_task_58","SLV","El Salvador"
"__export__.codeine_task_59","ARE","Emiratos Arabes Unidos"
"__export__.codeine_task_60","ERI","Eritrea"
"__export__.codeine_task_61","SVK","Eslovaquia"
"__export__.codeine_task_62","SVN","Eslovenia"
"__export__.codeine_task_63","USA","Estados Unidos de América"
"__export__.codeine_task_64","EST","Estonia"
"__export__.codeine_task_65","ETH","Etiopía"
"__export__.codeine_task_66","PHL","Filipinas"
"__export__.codeine_task_67","FIN","Finlandia"
"__export__.codeine_task_68","FRA","Francia"
"__export__.codeine_task_69","GAB","Gabón"
"__export__.codeine_task_70","GMB","Gambia"
"__export__.codeine_task_71","GEO","Georgia"
"__export__.codeine_task_72","GHA","Ghana"
"__export__.codeine_task_73","GIB","Gibraltar"
"__export__.codeine_task_74","GRD","Granada"
"__export__.codeine_task_75","GRC","Grecia"
"__export__.codeine_task_76","GRL","Groenlandia"
"__export__.codeine_task_77","GLP","Guadalupe"
"__export__.codeine_task_78","GUM","Guam"
"__export__.codeine_task_79","GTM","Guatemala"
"__export__.codeine_task_80","GUF","Guayana Francesa"
"__export__.codeine_task_81","GIN","Guinea"
"__export__.codeine_task_82","GNQ","Guinea Ecuatorial"
"__export__.codeine_task_83","GNB","Guinea-Bissau"
"__export__.codeine_task_84","GUY","Guyana"
"__export__.codeine_task_85","HTI","Haití"
"__export__.codeine_task_86","HND","Honduras"
"__export__.codeine_task_87","HKG","Hong-Kong"
"__export__.codeine_task_88","HUN","Hungría"
"__export__.codeine_task_89","IND","India"
"__export__.codeine_task_90","IDN","Indonesia"
"__export__.codeine_task_91","IRQ","Irak"
"__export__.codeine_task_92","IRL","Irlanda"
"__export__.codeine_task_93","IRN","Irán"
"__export__.codeine_task_94","BVT","Isla Bouvert"
"__export__.codeine_task_95","GGY","Isla de Guernesey"
"__export__.codeine_task_96","JEY","Isla de Jersey"
"__export__.codeine_task_97","IMN","Isla de Man"
"__export__.codeine_task_98","CXR","Isla de Navidad"
"__export__.codeine_task_99","ISL","Islandia"
"__export__.codeine_task_100","CYM","Islas Caimán"
"__export__.codeine_task_101","CCK","Islas Cocos"
"__export__.codeine_task_102","COK","Islas Cook"
"__export__.codeine_task_103","FLK","Islas Falkland (Malvinas)"
"__export__.codeine_task_104","FRO","Islas Feroé"
"__export__.codeine_task_105","FJI","Islas Fidji"
"__export__.codeine_task_106","SGS","Islas Georgias del Sur y Sandwich"
"__export__.codeine_task_107","HMD","Islas Heard e Mcdonald"
"__export__.codeine_task_108","MNP","Islas Marianas del Norte"
"__export__.codeine_task_109","MHL","Islas Marshall"
"__export__.codeine_task_110","UMI","Islas Menores de EEUU"
"__export__.codeine_task_111","NFK","Islas Norfolk"
"__export__.codeine_task_112","PCN","Islas Pitcairn"
"__export__.codeine_task_113","SLB","Islas Salomón"
"__export__.codeine_task_114","TCA","Islas Turcas y Caicos"
"__export__.codeine_task_115","VGB","Islas Vírgenes Británicas"
"__export__.codeine_task_116","VIR","Islas Vírgenes de los EEUU"
"__export__.codeine_task_117","WLF","Islas Wallis y Futura"
"__export__.codeine_task_118","ALA","Islas Åland"
"__export__.codeine_task_119","ISR","Israel"
"__export__.codeine_task_120","ITA","Italia"
"__export__.codeine_task_121","JAM","Jamaica"
"__export__.codeine_task_122","JPN","Japón"
"__export__.codeine_task_123","JOR","Jordania"
"__export__.codeine_task_124","KAZ","Kazajstán"
"__export__.codeine_task_125","KEN","Kenia"
"__export__.codeine_task_126","KGZ","Kirguistán"
"__export__.codeine_task_127","KIR","Kiribati"
"__export__.codeine_task_128","KWT","Kuwait"
"__export__.codeine_task_129","LAO","Laos"
"__export__.codeine_task_130","LSO","Lesotho"
"__export__.codeine_task_131","LVA","Letonia"
"__export__.codeine_task_132","LBY","Libia"
"__export__.codeine_task_133","LBR","Libéria"
"__export__.codeine_task_134","LIE","Liechtenstein"
"__export__.codeine_task_135","LTU","Lituania"
"__export__.codeine_task_136","LUX","Luxemburgo"
"__export__.codeine_task_137","LBN","Líbano"
"__export__.codeine_task_138","MAC","Macao"
"__export__.codeine_task_139","MKD","Macedonia, ARY"
"__export__.codeine_task_140","MDG","Madagascar"
"__export__.codeine_task_141","MYS","Malasia"
"__export__.codeine_task_142","MWI","Malawi"
"__export__.codeine_task_143","MDV","Maldivas"
"__export__.codeine_task_144","MLT","Malta"
"__export__.codeine_task_145","MLI","Malí"
"__export__.codeine_task_146","MAR","Marruecos"
"__export__.codeine_task_147","MTQ","Martinica"
"__export__.codeine_task_148","MUS","Mauricio"
"__export__.codeine_task_149","MRT","Mauritania"
"__export__.codeine_task_150","MYT","Mayotte"
"__export__.codeine_task_151","FSM","Micronesia"
"__export__.codeine_task_152","MDA","Moldavia"
"__export__.codeine_task_153","MNG","Mongolia"
"__export__.codeine_task_154","MNE","Montenegro"
"__export__.codeine_task_155","MSR","Montserrat"
"__export__.codeine_task_156","MOZ","Mozambique"
"__export__.codeine_task_157","MMR","Myanmar"
"__export__.codeine_task_158","MEX","México"
"__export__.codeine_task_159","MCO","Mónaco"
"__export__.codeine_task_160","NAM","Namibia"
"__export__.codeine_task_161","NRU","Naurú"
"__export__.codeine_task_162","NPL","Nepal"
"__export__.codeine_task_163","NIC","Nicaragua"
"__export__.codeine_task_164","NGA","Nigeria"
"__export__.codeine_task_165","NIU","Niue"
"__export__.codeine_task_166","NOR","Noruega"
"__export__.codeine_task_167","NCL","Nueva Caledonia"
"__export__.codeine_task_168","NZL","Nueva Zelanda"
"__export__.codeine_task_169","NER","Níger"
"__export__.codeine_task_170","OMN","Omán"
"__export__.codeine_task_171","PAK","Pakistán"
"__export__.codeine_task_172","PLW","Palau"
"__export__.codeine_task_173","PSE","Palestina, Territorio ocupado"
"__export__.codeine_task_174","PAN","Panamá"
"__export__.codeine_task_175","PNG","Papua Nueva Guinea"
"__export__.codeine_task_176","PRY","Paraguay"
"__export__.codeine_task_177","NLD","Países Bajos"
"__export__.codeine_task_178","PER","Perú"
"__export__.codeine_task_179","PYF","Polinesia Francesa"
"__export__.codeine_task_180","POL","Polonia"
"__export__.codeine_task_181","PRT","Portugal"
"__export__.codeine_task_182","PRI","Puerto Rico"
"__export__.codeine_task_183","QAT","Qatar"
"__export__.codeine_task_184","GBR","Reino Unido"
"__export__.codeine_task_185","CAF","República Centroafricana"
"__export__.codeine_task_186","CZE","República Checa"
"__export__.codeine_task_187","DOM","República Dominicana"
"__export__.codeine_task_188","REU","Reunión"
"__export__.codeine_task_189","ROU","Rumania"
"__export__.codeine_task_190","RUS","Rusia"
"__export__.codeine_task_191","RWA","Rwanda"
"__export__.codeine_task_192","ESH","Sahara Occidental"
"__export__.codeine_task_193","KNA","Saint Kitts y Nevis"
"__export__.codeine_task_194","WSM","Samoa"
"__export__.codeine_task_195","ASM","Samoa Americana"
"__export__.codeine_task_196","BLM","San Bartolomé"
"__export__.codeine_task_197","SMR","San Marino"
"__export__.codeine_task_198","MAF","San Martín"
"__export__.codeine_task_199","SPM","San Pedro y Miquelón"
"__export__.codeine_task_200","VCT","San Vicente y las Granadinas"
"__export__.codeine_task_201","SHN","Santa Elena"
"__export__.codeine_task_202","LCA","Santa Lucía"
"__export__.codeine_task_203","STP","Santo Tomé y Príncipe"
"__export__.codeine_task_204","SEN","Senegal"
"__export__.codeine_task_205","SRB","Serbia"
"__export__.codeine_task_206","SYC","Seychelles"
"__export__.codeine_task_207","SLE","Sierra Leona"
"__export__.codeine_task_208","SGP","Singapur"
"__export__.codeine_task_209","SYR","Siria"
"__export__.codeine_task_210","SOM","Somalia"
"__export__.codeine_task_211","LKA","Sri Lanka"
"__export__.codeine_task_212","SWZ","Suazilandia"
"__export__.codeine_task_213","ZAF","Sudáfrica"
"__export__.codeine_task_214","SDN","Sudán"
"__export__.codeine_task_215","SWE","Suecia"
"__export__.codeine_task_216","CHE","Suiza"
"__export__.codeine_task_217","SUR","Suriname"
"__export__.codeine_task_218","SJM","Svalbard e Islas de Jan Mayen"
"__export__.codeine_task_219","THA","Tailandia"
"__export__.codeine_task_220","TWN","Taiwán"
"__export__.codeine_task_221","TZA","Tanzania"
"__export__.codeine_task_222","TJK","Tayikistan"
"__export__.codeine_task_223","IOT","Terr. Británico del Oc. Indico"
"__export__.codeine_task_224","ATF","Tierras Australes Francesas"
"__export__.codeine_task_225","TLS","Timor Oriental"
"__export__.codeine_task_226","TGO","Togo"
"__export__.codeine_task_227","TKL","Tokelau"
"__export__.codeine_task_228","TON","Tonga"
"__export__.codeine_task_229","TTO","Trinidad y Tobago"
"__export__.codeine_task_230","TKM","Turkmenistán"
"__export__.codeine_task_231","TUR","Turquía"
"__export__.codeine_task_232","TUV","Tuvalu"
"__export__.codeine_task_233","TUN","Túnez"
"__export__.codeine_task_234","UKR","Ucrania"
"__export__.codeine_task_235","UGA","Uganda"
"__export__.codeine_task_236","URY","Uruguay"
"__export__.codeine_task_237","UZB","Uzbekistán"
"__export__.codeine_task_238","VUT","Vanuatu"
"__export__.codeine_task_239","VAT","Vaticano, Santa Sede"
"__export__.codeine_task_240","VEN","Venezuela"
"__export__.codeine_task_241","VNM","Vietnam"
"__export__.codeine_task_242","YEM","Yemen"
"__export__.codeine_task_243","DJI","Yibuti"
"__export__.codeine_task_244","ZMB","Zambia"
"__export__.codeine_task_245","ZWE","Zimbabwe"
"__export__.codeine_task_246","KOS","Kosovo"
"__export__.codeine_task_247","ES111","A Coruña"
"__export__.codeine_task_248","ES112","Lugo"
"__export__.codeine_task_249","ES113","Ourense"
"__export__.codeine_task_250","ES114","Pontevedra"
"__export__.codeine_task_251","ES120","Asturias"
"__export__.codeine_task_252","ES130","Cantabria"
"__export__.codeine_task_253","ES211","Araba/Álava"
"__export__.codeine_task_254","ES212","Guipuzkoa"
"__export__.codeine_task_255","ES213","Bizkaia"
"__export__.codeine_task_256","ES220","Navarra"
"__export__.codeine_task_257","ES230","La Rioja"
"__export__.codeine_task_258","ES241","Huesca"
"__export__.codeine_task_259","ES242","Teruel"
"__export__.codeine_task_260","ES243","Zaragoza"
"__export__.codeine_task_261","ES300","Madrid"
"__export__.codeine_task_262","ES411","Ávila"
"__export__.codeine_task_263","ES412","Burgos"
"__export__.codeine_task_264","ES413","León"
"__export__.codeine_task_265","ES414","Palencia"
"__export__.codeine_task_266","ES415","Salamanca"
"__export__.codeine_task_267","ES416","Segovia"
"__export__.codeine_task_268","ES417","Soria"
"__export__.codeine_task_269","ES418","Valladolid"
"__export__.codeine_task_270","ES419","Zamora"
"__export__.codeine_task_271","ES421","Albacete"
"__export__.codeine_task_272","ES422","Ciudad Real"
"__export__.codeine_task_273","ES423","Cuenca"
"__export__.codeine_task_274","ES424","Guadalajara"
"__export__.codeine_task_275","ES425","Toledo"
"__export__.codeine_task_276","ES431","Badajoz"
"__export__.codeine_task_277","ES432","Cáceres"
"__export__.codeine_task_278","ES511","Barcelona"
"__export__.codeine_task_279","ES512","Girona"
"__export__.codeine_task_280","ES513","Lleida"
"__export__.codeine_task_281","ES514","Tarragona"
"__export__.codeine_task_282","ES521","Alicante / Alacant"
"__export__.codeine_task_283","ES522","Castellón / Castelló"
"__export__.codeine_task_284","ES523","Valencia / València"
"__export__.codeine_task_285","ES530","Illes Balears"
"__export__.codeine_task_286","ES531","Eivissa y Formentera"
"__export__.codeine_task_287","ES532","Mallorca"
"__export__.codeine_task_288","ES533","Menorca"
"__export__.codeine_task_289","ES611","Almería"
"__export__.codeine_task_290","ES612","Cádiz"
"__export__.codeine_task_291","ES613","Córdoba"
"__export__.codeine_task_292","ES614","Granada"
"__export__.codeine_task_293","ES615","Huelva"
"__export__.codeine_task_294","ES616","Jaén"
"__export__.codeine_task_295","ES617","Málaga"
"__export__.codeine_task_296","ES618","Sevilla"
"__export__.codeine_task_297","ES620","Murcia"
"__export__.codeine_task_298","ES630","Ceuta"
"__export__.codeine_task_299","ES640","Melilla"
"__export__.codeine_task_300","ES701","Las Palmas"
"__export__.codeine_task_301","ES702","Santa Cruz de Tenerife"
"__export__.codeine_task_302","ES703","El Hierro"
"__export__.codeine_task_303","ES704","Fuerteventura"
"__export__.codeine_task_304","ES705","Gran Canaria"
"__export__.codeine_task_305","ES706","La Gomera"
"__export__.codeine_task_306","ES707","La Palma"
"__export__.codeine_task_307","ES708","Lanzarote"
"__export__.codeine_task_308","ES709","Tenerife"